id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts/fixture,avg_pts/fixture,MeanAbsDev(pts/fixture),med_pts/fixture,MedAbsDev(pts/fixture),std_pts/fixture_played,avg_pts/fixture_played,MeanAbsDev(pts/fixture_played),med_pts/fixture_played,MedAbsDev(pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,xPts(avgAdv),#OfMatches_nxtGWs,gw9Pts,gw10Pts,gw11Pts,gw12Pts,gw13Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
358,Stefan,Ortega Moreno,GKP,MCI,~,"Ortega Moreno (GKP, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,6,0.0,0,0.0,0.0,5,0,0,0,0,2,2,2.0,2↑
607,Nico,O'Reilly,MID,MCI,~,"O’Reilly (MID, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
626,Issa,Kaboré,DEF,MCI,~,"Kaboré (DEF, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,6,0.0,0,0.0,0.0,5,0,0,0,0,0,0,0.0,~
372,Alejandro,Garnacho,MID,MUN,5↑,"Garnacho (MID, 5↑)",30,8,0,3.559026084010437,5.0,3.333333333333333,3.0,1.0,2.7726341266023544,3.75,2.1875,2.5,1.0,2.7726341266023544,3.75,2.1875,2.5,1.0,4.52254248594,-6,10.57900922229,0,0.0,-7,10.56279832965,10.57090377597,5,2,2,6,2,1,13,2.4290962240299994,2↑
383,André,Onana,GKP,MUN,3↓,"Onana (GKP, 3↓)",41,8,0,1.699673171197595,3.6666666666666665,1.5555555555555554,3.0,1.0,3.9823830805184977,5.125,3.375,4.5,3.0,3.9823830805184977,5.125,3.375,4.5,3.0,4.22370043307,-6,18.92549817311,19,20.14131512104,0,0.0,19.53340664707,5,1,2,9,3,6,21,1.4665933529300013,1↑
375,Rasmus,Højlund,FWD,MUN,4↑,"Højlund (FWD, 4↑)",12,4,4,3.091206165165235,3.6666666666666665,2.8888888888888893,2.0,1.0,2.549509756796392,1.5,1.75,0.5,0.5,2.9154759474226504,3.0,2.5,1.5,0.5,2.83907364229,-6,2.08662223771,0,0.0,-7,2.07851679139,2.08256951455,5,2,5,2,1,0,10,7.91743048545,5↑
385,Marcus,Rashford,MID,MUN,4↑,"Rashford (MID, 4↑)",26,8,0,1.8856180831641267,3.333333333333333,1.777777777777778,2.0,0.0,2.277608394786075,3.25,1.875,2.0,0.5,2.277608394786075,3.25,1.875,2.0,0.5,3.3015028324,-6,8.49238698458,0,0.0,-7,8.48428153826,8.48833426142,5,1,2,1,8,14,26,17.51166573858,6↑
371,Jonny,Evans,DEF,MUN,2↓,"Evans (DEF, 2↓)",12,4,4,4.027681991198191,3.333333333333333,3.777777777777778,1.0,1.0,2.8722813232690143,1.5,1.875,0.5,0.5,3.4641016151377544,3.0,3.0,1.0,0.0,2.63306231271,-6,2.08662223771,19,2.28925839569,0,0.0,2.1879403167,5,0,0,1,1,0,2,-0.18794031670000022,~
369,Diogo,Dalot Teixeira,DEF,MUN,4↓,"Dalot (DEF, 4↓)",36,8,0,2.6246692913372702,2.333333333333333,2.4444444444444446,1.0,1.0,4.0,4.5,3.75,3.5,3.0,4.0,4.5,3.75,3.5,3.0,3.16092635771,-6,14.65498834187,19,15.87080528979,0,0.0,15.26289681583,5,1,1,1,2,6,11,-4.2628968158300005,4↓
366,Bruno,Borges Fernandes,MID,MUN,3↑,"B.Fernandes (MID, 3↑)",21,8,0,2.943920288775949,2.0,2.6666666666666665,3.0,2.0,2.057759704144291,2.625,1.46875,3.0,1.0,2.057759704144291,2.625,1.46875,3.0,1.0,2.23872875703,-6,12.71426413791,0,0.0,-7,12.69805324528,12.7061586916,5,2,10,17,2,9,40,27.293841308399998,7↑
370,Christian,Eriksen,MID,MUN,~,"Eriksen (MID, ~)",11,6,2,0.4714045207910317,1.6666666666666667,0.4444444444444444,2.0,0.0,0.9921567416492216,1.375,0.875,1.5,0.5,0.6871842709362768,1.8333333333333333,0.5555555555555557,2.0,0.5,1.55525991339,-6,6.35713206896,0,0.0,-7,6.34902662264,6.3530793458,5,2,0,1,2,0,5,-1.3530793458000003,1↓
593,Matthijs,de Ligt,DEF,MUN,~,"De Ligt (DEF, ~)",27,8,0,0.4714045207910317,1.3333333333333333,0.4444444444444444,1.0,0.0,4.715334028465004,3.375,3.5625,1.0,0.5,4.715334028465004,3.375,3.5625,1.0,0.5,2.1131806063,-6,4.22187715333,19,4.424513311329999,0,0.0,4.32319523233,5,0,2,6,2,1,11,6.67680476767,4↑
368,Carlos Henrique,Casimiro,MID,MUN,1↑,"Casemiro (MID, 1↑)",11,7,1,0.4714045207910317,1.3333333333333333,0.4444444444444444,1.0,0.0,0.8569568250501305,1.375,0.71875,1.0,0.5,0.7284313590846835,1.5714285714285714,0.6530612244897959,1.0,0.0,1.3492485838,-6,4.22187715333,0,0.0,-7,4.21377170701,4.21782443017,5,10,1,3,1,3,18,13.782175569829999,6↑
